Rev,HA,Carb,DW,Scenario
200000000.0,17000.0,3500000.0,120000.0,0
271452277.0870577,18999.99999998852,4000003.8782229726,147856.6473719779,1
280445157.4679654,17033.184796297446,3999999.999990806,133372.41773356128,2
300000000.0,19000.0,4000000.0,150000.0,3
270678382.8777674,19001.363043648973,4598157.255249141,188947.2678753351,4
290585635.641876,17005.539732052854,4369429.118040178,166555.91241297926,5
295061412.79014534,19000.74031128753,4598227.955110382,188946.7102777047,6
313033407.57207733,17005.539729776116,4369429.118077757,166746.80426444768,7
150000000.0,17000.0,4500000.0,170000.0,8
271813133.0927313,16999.99999984111,4733173.684824022,199999.99999277433,9
312060155.160627,19025.939332902697,4736667.954452232,227730.97971893,10
200000000.0,17000.0,5000000.0,200000.0,11
