Rev,HA,Carb,DW,Scenario
200000000.0,17000.0,3500000.0,120000.0,0
272677145.824145,20225.25770987376,4449001.4721100135,218153.215498235,1
283046490.961312,20225.257707264576,4449001.472110001,218153.2154981315,2
300000000.0,19000.0,4000000.0,150000.0,3
272688364.302847,20244.69337365745,4891634.334371832,279942.64389559143,4
291943691.623345,20244.69337108137,4891634.33437182,279942.6438955129,5
297258142.873984,20244.69337365748,4891634.334371831,279942.6438955913,6
314576432.62567097,20244.69337365745,4891634.334371831,279942.64389559143,7
150000000.0,17000.0,4500000.0,170000.0,8
312759842.146451,20288.032233665657,5337689.24434753,341394.85949194647,9
314383374.229299,20288.03223366566,5337689.24434753,341394.85949194647,10
200000000.0,17000.0,5000000.0,200000.0,11
